Country_Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,AVG
Algeria,4.232686719,3.924535345,4.475287322,3.201062364,3.985735998,4.344342679,4.240251425,3.888096119,3.123159204,2.02280776,2.181164512,3.601739041
Angola,0.090758039,0.066892831,0.079454828,0.088739845,0.118732449,0.107675558,0.113130528,0.083006334,0.061828933,0.085410228,0.186106399,0.098339634
Benin,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0.006381944,0.006595816,0.006223406,0.081379363,0.090415953,0.169481854,2.61E-17,0.222515365,0.204076403,0.111148553,0.190764221,0.098998443
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Dem. Rep.",0.010342722,0.010675973,0.010530455,0.01139508,0.016599639,0,0,0.000980176,0.000298715,5.04E-05,0,0.005533924
"Congo, Rep.",0.24654173,0.271741858,0.447268042,0.784658361,1.409721576,1.549914142,1.962725174,1.754042924,1.627178453,0.780252732,1.168883813,1.091175346
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0
"Egypt, Arab Rep.",2.477159686,2.450719592,2.136259671,1.493465909,2.221330888,2.034663802,1.867352526,1.407373282,0.718458237,0.375797771,0.736434189,1.629001414
Equatorial Guinea,1.594216032,2.623950142,3.377870944,4.189625009,5.703999662,5.159481948,5.001633985,4.698268112,4.364556162,2.595556222,3.612474201,3.901966584
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0.045898981,0.044928453,0.053681972,0.056447197,0.068064247,0.406599965,0.302901576,0.38300818,0.24394053,0.136188849,0.19543003,0.176099089
"Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0
Ghana,9.50E-05,6.77E-05,4.62E-05,3.12E-05,2.98E-05,2.41E-05,1.47E-05,1.72E-05,0.097238232,0.049958784,0.097770984,0.022299445
Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0
Ivory Coast,0.526210747,0.575256197,0.533564478,0.6738031,1.135632808,1.204901099,1.09513917,0.966757683,0.482955817,0.32870549,0.452506706,0.72503939
Kenya,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0
Libya,1.291689516,1.219973831,1.603621357,1.183814902,1.90619678,1.371361463,1.856464002,2.636288118,2.496540151,1.332100538,1.067808342,1.633259909
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0.004040729,0.004261491,0.004026479,0.003471828,0.005573561,0.007280752,0.00690395,0.005812325,0.00478686,0.002072391,0.001827476,0.004550713
Mozambique,2.113386695,2.344949755,2.244601092,3.304024136,4.676965888,4.860674117,4.140564702,4.190595295,3.166627261,2.3637205,3.112929364,3.319912619
Namibia,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0.922988299,0.89965391,0.682485725,0.915874526,1.667641583,1.641580532,1.219414482,1.248603568,0.825806946,0.505336493,0.844246596,1.033966605
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0.004467747,0.003100752,0.007665604,0.005431603,0.017710175,0.041766016,0.036318028,0.042915747,0.026726237,0.012179239,0.013801149,0.019280209
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0.042903315,0.048487788,0.034060771,0.0420434,0.058373508,0.054479,0.058262805,0.05108103,0.036919048,0.019319577,0.023807282,0.042703411
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0.160411129,0.158960342,0.166475948,0.217496184,0.395397733,0.412732867,0.332322729,0.281958376,0.184640782,0.124065136,0.167816723,0.236570723
Togo,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0.322354394,0.42286791,0.451718945,0.449602778,0.663812022,0.701140166,0.677580399,0.566968252,0.321456792,0.182421746,0.19952591,0.450859029
Uganda,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0
