Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.575830665,3.728295519,0.321412235,0.418907993,,,,,,,,,,,,,,,,,,5.12738807,6.5475686,7.288117297,7.642009647,7.227208587,7.25574048,5.18878495,4.158488248,5.005228271,
Afghanistan,AFG,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,6.109927824,8.363834615,6.565626136,4.189548144,3.674589707,3.868878149,5.149299099,5.987168327,6.105694729,5.000145629,6.813822329,6.565214591,9.325607606,7.743069227,10.63285598,8.901967956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.841267308,23.62490556,20.86020961,34.77309427,24.4565675,16.98009586,19.33986983,21.20918791,15.42791866,,
Angola,AGO,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,3.766068832,,,,,,,3.998847846,3.357306331,3.008040738,4.912853421,5.225641953,4.493265564,,,,,,,,,,,0.245652387,,,,,,,,,,,,,,,,,,,,,,1.259203159,,14.59809078,17.15734964,11.65937989,3.978354902,7.763156733,5.73506127,1.513633301,,,
Albania,ALB,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.442331266,2.915155901,3.630592262,3.606989965,8.925664434,9.893797264,9.046314667,8.570469048,7.714454085,8.969220609,12.22878241,14.65505488,16.02116702,11.79780276,13.81848889,17.5823065,19.93474974,17.19830729,8.150161313,9.61593113,7.288428355,4.988332516,
Andorra,AND,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.574474126,3.708925364,3.510202502,3.581965895,3.030220198,4.439053367,4.429660189,4.54007761,4.434425735,4.33897946,,5.900191263,6.635123385,9.453176822,8.425026236,10.12233579,12.21567686,14.13865565,12.78124519,10.96223753,,,,
Arab World,ARB,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,5.077260142,5.064138391,,4.881020544,6.697456136,7.946698906,8.949225427,7.285538937,6.825901754,,,,,,3.374976686,,4.813385529,3.854185056,3.788863174,,,,,,3.259306901,3.99565224,4.404715159,5.281539482,7.745031831,7.015770706,6.851895821,,9.156920192,11.56151276,,9.500780638,,10.68014919,9.398419369,9.479258503,,5.856418602,,
United Arab Emirates,ARE,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,3.819878793,9.942160451,10.80478215,11.28106285,6.033652983,6.955181559,,,,,,2.448889271,,5.757618608,4.118774998,4.066991767,,,,,,0.91822681,0.771782118,0.781360042,,,,0.702157605,,0.905021299,1.038360564,,,,3.788179644,3.216643124,3.349103119,,1.291658199,,
Argentina,ARG,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,6.68857357,5.869688853,7.779623498,9.660914203,9.651260389,8.572367449,7.246942926,6.718627086,4.746594975,6.682967947,3.767298811,7.589826084,14.53016657,13.22734604,17.68952757,16.39708607,12.43964253,16.56600736,10.3040222,10.83479003,12.77410979,10.28828879,10.42097978,12.1153619,8.976529696,11.4179062,9.388848062,8.80371629,8.065892563,5.567866493,2.8815164,2.388126517,2.884706633,4.084561682,3.611480069,2.978658406,2.590066913,2.749120598,3.760540723,4.015691006,4.913787453,3.608117849,4.221953273,5.051847189,4.783858646,6.097315656,7.247014455,6.356288048,7.946469744,12.74351177,12.9120912,16.20120066,16.92103947,11.06913941,8.214491999,8.220139008,
Armenia,ARM,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.38916283,,21.71218896,21.07787287,22.82238744,17.97589614,7.838513568,16.21271058,16.25355439,16.66406344,16.57335584,16.30202439,15.79163878,18.028513,20.76238368,21.6189078,23.03725279,20.32830053,20.87400286,17.80491946,16.35688532,
American Samoa,ASM,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
